Model,Dim,Window,NegSamples,VocabSize,TrainTime(s)
CBOW,100,5,5,3364,0.62
CBOW,100,5,10,3364,0.88
CBOW,100,5,15,3364,1.16
CBOW,100,8,5,3364,0.64
CBOW,100,8,10,3364,0.92
CBOW,100,8,15,3364,1.21
CBOW,100,10,5,3364,0.68
CBOW,100,10,10,3364,0.95
CBOW,100,10,15,3364,1.23
CBOW,200,5,5,3364,0.81
CBOW,200,5,10,3364,1.13
CBOW,200,5,15,3364,1.49
CBOW,200,8,5,3364,0.83
CBOW,200,8,10,3364,1.19
CBOW,200,8,15,3364,1.55
CBOW,200,10,5,3364,0.87
CBOW,200,10,10,3364,1.24
CBOW,200,10,15,3364,1.59
CBOW,300,5,5,3364,0.95
CBOW,300,5,10,3364,1.4
CBOW,300,5,15,3364,1.84
CBOW,300,8,5,3364,1.04
CBOW,300,8,10,3364,1.47
CBOW,300,8,15,3364,1.9
CBOW,300,10,5,3364,1.08
CBOW,300,10,10,3364,1.52
CBOW,300,10,15,3364,1.97
SKIPGRAM,100,5,5,3364,1.9
SKIPGRAM,100,5,10,3364,3.27
SKIPGRAM,100,5,15,3364,4.61
SKIPGRAM,100,8,5,3364,2.53
SKIPGRAM,100,8,10,3364,4.52
SKIPGRAM,100,8,15,3364,6.38
SKIPGRAM,100,10,5,3364,2.93
SKIPGRAM,100,10,10,3364,5.23
SKIPGRAM,100,10,15,3364,7.42
SKIPGRAM,200,5,5,3364,2.43
SKIPGRAM,200,5,10,3364,4.26
SKIPGRAM,200,5,15,3364,6.03
SKIPGRAM,200,8,5,3364,3.37
SKIPGRAM,200,8,10,3364,5.93
SKIPGRAM,200,8,15,3364,8.35
SKIPGRAM,200,10,5,3364,3.97
SKIPGRAM,200,10,10,3364,6.97
SKIPGRAM,200,10,15,3364,9.81
SKIPGRAM,300,5,5,3364,3.14
SKIPGRAM,300,5,10,3364,5.38
SKIPGRAM,300,5,15,3364,7.57
SKIPGRAM,300,8,5,3364,4.3
SKIPGRAM,300,8,10,3364,7.46
SKIPGRAM,300,8,15,3364,10.49
SKIPGRAM,300,10,5,3364,5.01
SKIPGRAM,300,10,10,3364,8.75
SKIPGRAM,300,10,15,3364,12.25
